Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
automotive robotics,Srinivas Akella,https://pages.charlotte.edu/connections/people/sakella/,,,,
computer science education,,,,,,
static timing analysis,Harini Ramaprasad,https://pages.charlotte.edu/connections/people/hramapra/,,,,
text mining,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
tatic analysis,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
advanced manufacturing system security,Weichao Wang,https://pages.charlotte.edu/connections/people/wwang22/,,,,
cloud computing environments,Weichao Wang,https://pages.charlotte.edu/connections/people/wwang22/,,,,
critical infrastructures,Weichao Wang,https://pages.charlotte.edu/connections/people/wwang22/,,,,
pervasive systems,Weichao Wang,https://pages.charlotte.edu/connections/people/wwang22/,,,,
wireless networks,Jiang Xie,https://pages.charlotte.edu/connections/people/jxie1/,Weichao Wang,https://pages.charlotte.edu/connections/people/wwang22/,,
affective computing,Dale-Marie Wilson,https://pages.charlotte.edu/connections/people/dwilso1/,,,,
speech interface,Dale-Marie Wilson,https://pages.charlotte.edu/connections/people/dwilso1/,,,,
virtual agents,Dale-Marie Wilson,https://pages.charlotte.edu/connections/people/dwilso1/,,,,
deepQA,Wlodek Zadrozny,https://pages.charlotte.edu/connections/people/wzadrozn/,,,,
program-proof co-development,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
natural language understanding,Wlodek Zadrozny,https://pages.charlotte.edu/connections/people/wzadrozn/,,,,
medical imaging,,,,,,
cyber agility,,,,,,
intrusion detection,,,,,,
moving target defense,,,,,,
security configuration analytics,,,,,,
security metrics,,,,,,
computer integrated manufacturing,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,,,
electronic commerce,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,,,
enterprise integration,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,,,
security policies,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
program equivalence,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
information security,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,
medical informatics,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,,,,
gamification,,,,,,
serious games,,,,,,
computer interactions,,,,,,
usable privacy,Heather Lipford,https://pages.charlotte.edu/connections/people/richter/,,,,
usable security,Heather Lipford,https://pages.charlotte.edu/connections/people/richter/,,,,
design,Catty Dan Zhang,https://pages.charlotte.edu/connections/people/dzhang14/,Lidia Klein,https://pages.charlotte.edu/connections/people/lklein7/,Cynthia Frank,https://pages.charlotte.edu/connections/people/cfrank18/
data analytics,Xi Niu,https://pages.charlotte.edu/connections/people/xniu2/,Matthew Phillips,https://pages.charlotte.edu/connections/people/matthew-phillips/,,
interactive information retrieval,Xi Niu,https://pages.charlotte.edu/connections/people/xniu2/,,,,
search behavior,Xi Niu,https://pages.charlotte.edu/connections/people/xniu2/,,,,
access control,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,,,,
mobile applications,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,,,,
model-checking,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
mobile health,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,,,,
security,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,,,,
web services,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,,,,
abstract interpretation,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
binary instrumentation,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
cyber-physical systems security,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
in-lined reference monitoring,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
language analysis,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
language design,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
language-based web security solutions,Meera Sridhar,https://pages.charlotte.edu/connections/people/msridhar/,,,,
information privacy,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,,,
bimanual interaction,Alberto Gonzalez,https://pages.charlotte.edu/connections/people/agonza32/,,,,
preemptive systems,Harini Ramaprasad,https://pages.charlotte.edu/connections/people/hramapra/,,,,
design studies,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
distributed databases,Angelina Tzacheva,https://pages.charlotte.edu/connections/people/aatzache/,,,,
knowledge discovery,Angelina Tzacheva,https://pages.charlotte.edu/connections/people/aatzache/,,,,
multimedia databases,Angelina Tzacheva,https://pages.charlotte.edu/connections/people/aatzache/,,,,
communication networks,,,,,,
mobile big data,,,,,,
mobile crowdsensing,,,,,,
mobile social networks,,,,,,
abstract data,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
application design,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
cluster-based visual analytics and animations,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
finance,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
signal processing,,,,,,
insight management visualization,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
interactions visualization,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
multidimensional data,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
networks and hierarchies,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
sports,Krystion Obie Nelson,https://pages.charlotte.edu/connections/people/ksobie/,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,
text documents,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
time-oriented data,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
trajectory data,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/,,,,
biomedical instrumentation,M.Taghi Mostafavi,https://pages.charlotte.edu/connections/people/taghi/,,,,
ovarian cancer research,M.Taghi Mostafavi,https://pages.charlotte.edu/connections/people/taghi/,,,,
video understanding,,,,,,
sensor networks,,,,,,
creativity support tools,Alberto Gonzalez,https://pages.charlotte.edu/connections/people/agonza32/,,,,
data science,Douglas Hague,https://pages.charlotte.edu/connections/people/dhague/,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/
exploratory satisficing,Alberto Gonzalez,https://pages.charlotte.edu/connections/people/agonza32/,,,,
interactive dance,Alberto Gonzalez,https://pages.charlotte.edu/connections/people/agonza32/,,,,
interface explorability,Alberto Gonzalez,https://pages.charlotte.edu/connections/people/agonza32/,,,,
novel interaction techniques,Alberto Gonzalez,https://pages.charlotte.edu/connections/people/agonza32/,,,,
tangible interaction,Alberto Gonzalez,https://pages.charlotte.edu/connections/people/agonza32/,,,,
advanced machine learning,,,,,,
artificial intelligence,Chengde Wu,https://pages.charlotte.edu/connections/people/cwu23/,Cheryl Brown,https://pages.charlotte.edu/connections/people/cheryl-brown/,,
artificial thinking,,,,,,
computational intelligence,,,,,,
complex systems,Sheng-Guo Wang,https://pages.charlotte.edu/connections/people/swang/,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,Mirsad Hadzikadic,https://pages.charlotte.edu/connections/people/mirsad/
health informatics,Mirsad Hadzikadic,https://pages.charlotte.edu/connections/people/mirsad/,,,,
search and retrieval,,,,,,
SOPHI,Mirsad Hadzikadic,https://pages.charlotte.edu/connections/people/mirsad/,,,,
interactive computer graphics,Kalpathi Subramanian,https://pages.charlotte.edu/connections/people/krs/,,,,
visual learning,Kalpathi Subramanian,https://pages.charlotte.edu/connections/people/krs/,,,,
big data,Justin Grandinetti,https://pages.charlotte.edu/connections/people/jgrandin/,Scott Tonidandel,https://pages.charlotte.edu/connections/people/scott-tonidandel/,Tao Han,https://pages.charlotte.edu/connections/people/than3/
biometrics,,,,,,
distributed control,,,,,,
human language technologies,,,,,,
multimedia processing,,,,,,
natural language processing,Benjamin Radford,https://pages.charlotte.edu/connections/people/bradfor7/,,,,
pattern recognition,,,,,,
transcriptomics,Cynthia Gibas,https://pages.charlotte.edu/connections/people/cgibas/,Christine Richardson,https://pages.charlotte.edu/connections/people/christine-richardson/,,
Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
teacher education,Marissa Nesbit,https://pages.charlotte.edu/connections/people/mnesbit4/,Tehia Glass,https://pages.charlotte.edu/connections/people/tstarker/,Adriana Medina,https://pages.charlotte.edu/connections/people/amedina1/
school counseling,Sejal Foxx,https://pages.charlotte.edu/connections/people/sbparikh/,Edward Wierzalis,https://pages.charlotte.edu/connections/people/eawierza/,Phyllis Post,https://pages.charlotte.edu/connections/people/ppost/
students with disabilities,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Shawnee Wakeman,https://pages.charlotte.edu/connections/people/slwakema/,Fred Spooner,https://pages.charlotte.edu/connections/people/fhspoone/
applied behavior analysis,Ya-yu Lo,https://pages.charlotte.edu/connections/people/ylo1/,Charles Wood,https://pages.charlotte.edu/connections/people/clwood/,Fred Spooner,https://pages.charlotte.edu/connections/people/fhspoone/
school leadership,Debra Morris,https://pages.charlotte.edu/connections/people/dsmorris/,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,
technology integration,Kaustavi Sarkar,https://pages.charlotte.edu/connections/people/ksarkar/,Susan Oyarzun,https://pages.charlotte.edu/connections/people/seallred/,Amy Good,https://pages.charlotte.edu/connections/people/agood5/
counselor education,John Nance,https://pages.charlotte.edu/connections/people/jcnance/,Phyllis Post,https://pages.charlotte.edu/connections/people/ppost/,Clare Merlin,https://pages.charlotte.edu/connections/people/cmerlin1/
students with cognitive disabilities,Shawnee Wakeman,https://pages.charlotte.edu/connections/people/slwakema/,Fred Spooner,https://pages.charlotte.edu/connections/people/fhspoone/,,
research methods,Richard Lambert,https://pages.charlotte.edu/connections/people/rglamber/,Claudia Flowers,https://pages.charlotte.edu/connections/people/cpflower/,Zachary Mohr,https://pages.charlotte.edu/connections/people/zachary-mohr/
early childhood special education,Jane Smith,https://pages.charlotte.edu/connections/people/jdianesm/,,,,
english learners,Kristen Beach,https://pages.charlotte.edu/connections/people/kbeach4/,,,,
alternate assessment,Shawnee Wakeman,https://pages.charlotte.edu/connections/people/slwakema/,Fred Spooner,https://pages.charlotte.edu/connections/people/fhspoone/,,
equity,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Sequina DuBose,https://pages.charlotte.edu/connections/people/sdubose5/,Bianca Reisdorf,https://pages.charlotte.edu/connections/people/breisdor/
school improvement,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,,,
race,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,Kelsey Klotz,https://pages.charlotte.edu/connections/people/kklotz1/
research methodology,Dawson Hancock,https://pages.charlotte.edu/connections/people/dhancock/,,,,
literacy,Erin Miller,https://pages.charlotte.edu/connections/people/emille90/,Adriana Medina,https://pages.charlotte.edu/connections/people/amedina1/,Beth Murray,https://pages.charlotte.edu/connections/people/emurra17/
inclusion,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Sequina DuBose,https://pages.charlotte.edu/connections/people/sdubose5/,Bianca Reisdorf,https://pages.charlotte.edu/connections/people/breisdor/
evidence-based practices,Katherine McGuffin,https://pages.charlotte.edu/connections/people/kdshue/,,,,
school reform,Christopher O'Brien,https://pages.charlotte.edu/connections/people/cpobrie/,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,
educational policy,Michael Matthews,https://pages.charlotte.edu/connections/people/mmatth36/,Shawnee Wakeman,https://pages.charlotte.edu/connections/people/slwakema/,,
differentiated instruction,Kelly Anderson,https://pages.charlotte.edu/connections/people/keanders/,Cindy Gilson,https://pages.charlotte.edu/connections/people/cgilson/,,
early intervention,Jane Smith,https://pages.charlotte.edu/connections/people/jdianesm/,,,,
teacher evaluation,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,Dawson Hancock,https://pages.charlotte.edu/connections/people/dhancock/,,
diversity,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/
social justice advocacy,Sejal Foxx,https://pages.charlotte.edu/connections/people/sbparikh/,Phyllis Post,https://pages.charlotte.edu/connections/people/ppost/,,
STEM education,Jae Hoon Lim,https://pages.charlotte.edu/connections/people/jhlim/,Stephanie Moller,https://pages.charlotte.edu/connections/people/stephanie-moller/,,
clinical supervision,John Nance,https://pages.charlotte.edu/connections/people/jcnance/,John Culbreth,https://pages.charlotte.edu/connections/people/jculbret/,,
multicultural education,Lyndon Abrams,https://pages.charlotte.edu/connections/people/lpabrams/,Clare Merlin,https://pages.charlotte.edu/connections/people/cmerlin1/,,
urban students,Stephen Hancock,https://pages.charlotte.edu/connections/people/sdhancoc/,Jean Vintinner,https://pages.charlotte.edu/connections/people/jpvintin/,,
adolescent literacy,Adriana Medina,https://pages.charlotte.edu/connections/people/amedina1/,David Taylor,https://pages.charlotte.edu/connections/people/dbtaylor/,,
assessment,Claudia Flowers,https://pages.charlotte.edu/connections/people/cpflower/,,,,
counselor training,John Culbreth,https://pages.charlotte.edu/connections/people/jculbret/,Pamela Lassiter,https://pages.charlotte.edu/connections/people/plassite/,,
writing instruction,,,,,,
black experience of adult education,Lisa Merriweather,https://pages.charlotte.edu/connections/people/lmerriwe/,,,,
Africana philosophy,Lisa Merriweather,https://pages.charlotte.edu/connections/people/lmerriwe/,Danielle Boaz,https://pages.charlotte.edu/connections/people/danielle-boaz/,,
anti-black racism,Lisa Merriweather,https://pages.charlotte.edu/connections/people/lmerriwe/,,,,
race in high school,,,,,,
transnational Asian students and their families,Jae Hoon Lim,https://pages.charlotte.edu/connections/people/jhlim/,,,,
qualitative research methods,Jae Hoon Lim,https://pages.charlotte.edu/connections/people/jhlim/,David R Langford,https://pages.charlotte.edu/connections/people/david-r-langford/,,
equity issues in stem education,Jae Hoon Lim,https://pages.charlotte.edu/connections/people/jhlim/,,,,
school administration,Debra Morris,https://pages.charlotte.edu/connections/people/dsmorris/,,,,
school principals,Debra Morris,https://pages.charlotte.edu/connections/people/dsmorris/,,,,
online learning,Susan Oyarzun,https://pages.charlotte.edu/connections/people/seallred/,,,,
instructional technologies,,,,,,
synchronous online learning,Florence Martin,https://pages.charlotte.edu/connections/people/fmartin3/,,,,
multimedia competencies,Florence Martin,https://pages.charlotte.edu/connections/people/fmartin3/,,,,
resilience,Robin James,https://pages.charlotte.edu/connections/people/robin-james/,,,,
educational leadership,,,,,,
social justice,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Lisa Merriweather,https://pages.charlotte.edu/connections/people/lmerriwe/,Beth Murray,https://pages.charlotte.edu/connections/people/emurra17/
student engagement,,,,,,
instructional technologists,Florence Martin,https://pages.charlotte.edu/connections/people/fmartin3/,,,,
mobile learning,Florence Martin,https://pages.charlotte.edu/connections/people/fmartin3/,,,,
learning analytics,Douglas Markant,https://pages.charlotte.edu/connections/people/dmarkant/,Florence Martin,https://pages.charlotte.edu/connections/people/fmartin3/,,
critical philosophy of race,Lisa Merriweather,https://pages.charlotte.edu/connections/people/lmerriwe/,,,,
leadership,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Rebecca Shore,https://pages.charlotte.edu/connections/people/rshore6/,Janaki Gooty,https://pages.charlotte.edu/connections/people/jgooty/
full inclusion,,,,,,
effective teaching behavior,,,,,,
data-based decision making,,,,,,
instruction in the total school,,,,,,
positive behavioral interventions and supports,,,,,,
applied statistics,Benjamin Radford,https://pages.charlotte.edu/connections/people/bradfor7/,Richard Lambert,https://pages.charlotte.edu/connections/people/rglamber/,,
team-initiated problem solving,,,,,,
district superintendents,,,,,,
building principals,,,,,,
community college student success,Mark D'Amico,https://pages.charlotte.edu/connections/people/mmdamico/,,,,
community college,Mark D'Amico,https://pages.charlotte.edu/connections/people/mmdamico/,,,,
social studies classrooms,Hilary Dack,https://pages.charlotte.edu/connections/people/hdack/,,,,
higher education leadership,Mark D'Amico,https://pages.charlotte.edu/connections/people/mmdamico/,Ryan Miller,https://pages.charlotte.edu/connections/people/rmill113/,,
higher education policy,Mark D'Amico,https://pages.charlotte.edu/connections/people/mmdamico/,,,,
authentic leadership,,,,,,
workforce development,Mark D'Amico,https://pages.charlotte.edu/connections/people/mmdamico/,Michael E Thompson,https://pages.charlotte.edu/connections/people/michael-e-thompson/,,
evaluating programs for young children,Richard Lambert,https://pages.charlotte.edu/connections/people/rglamber/,,,,
teacher coping,Richard Lambert,https://pages.charlotte.edu/connections/people/rglamber/,,,,
charter schools,Rebecca Shore,https://pages.charlotte.edu/connections/people/rshore6/,,,,
brain-based learning,Rebecca Shore,https://pages.charlotte.edu/connections/people/rshore6/,,,,
school organization,,,,,,
early childhood,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Rebecca Shore,https://pages.charlotte.edu/connections/people/rshore6/,,
online teaching,,,,,,
adult education,Lisa Merriweather,https://pages.charlotte.edu/connections/people/lmerriwe/,,,,
secondary restructuring,Rebecca Shore,https://pages.charlotte.edu/connections/people/rshore6/,,,,
transition,Claudia Flowers,https://pages.charlotte.edu/connections/people/cpflower/,,,,
accommodations,Claudia Flowers,https://pages.charlotte.edu/connections/people/cpflower/,,,,
educational assessment,,,,,,
computer-based testing,,,,,,
teacher stress,Richard Lambert,https://pages.charlotte.edu/connections/people/rglamber/,,,,
educational measurement,,,,,,
large-scale assessments,,,,,,
students with special needs,Fred Spano,https://pages.charlotte.edu/connections/people/fspano/,Deborah Wall,https://pages.charlotte.edu/connections/people/dwall/,,
program evaluation,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Joanne Carman,https://pages.charlotte.edu/connections/people/joanne-carman/
adult learning,Lisa Merriweather,https://pages.charlotte.edu/connections/people/lmerriwe/,Suzanne Ingram,https://pages.charlotte.edu/connections/people/suzanne-ingram/,,
student Self-efficacy beliefs,Chuang Wang,https://pages.charlotte.edu/connections/people/cwang15/,,,,
substance use,John Stogner,https://pages.charlotte.edu/connections/people/john-stogner/,,,,
student-athlete mental health issues,,,,,,
family dynamics and substance use,,,,,,
substance use disorders,,,,,,
child-parent and teacher relationship therapy,Phyllis Post,https://pages.charlotte.edu/connections/people/ppost/,,,,
flipped learning,Clare Merlin,https://pages.charlotte.edu/connections/people/cmerlin1/,,,,
play therapy,Phyllis Post,https://pages.charlotte.edu/connections/people/ppost/,,,,
family counseling,,,,,,
adolescent substance use,,,,,,
women and trauma,,,,,,
trauma,,,,,,
terminal illness,,,,,,
counseling and philosophy,Edward Wierzalis,https://pages.charlotte.edu/connections/people/eawierza/,,,,
glbt issues,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Ryan Miller,https://pages.charlotte.edu/connections/people/rmill113/,Edward Wierzalis,https://pages.charlotte.edu/connections/people/eawierza/
spirituality and counseling,Edward Wierzalis,https://pages.charlotte.edu/connections/people/eawierza/,,,,
multicultural issues,Edward Wierzalis,https://pages.charlotte.edu/connections/people/eawierza/,,,,
prejudice reduction,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Clare Merlin,https://pages.charlotte.edu/connections/people/cmerlin1/,,
prejudice reduction in k-12 schools,Clare Merlin,https://pages.charlotte.edu/connections/people/cmerlin1/,,,,
elementary reading instruction,,,,,,
multiracial issues,Henry Harris,https://pages.charlotte.edu/connections/people/hharris2/,,,,
military veterans,Henry Harris,https://pages.charlotte.edu/connections/people/hharris2/,,,,
faculty motivation,Dawson Hancock,https://pages.charlotte.edu/connections/people/dhancock/,,,,
leadership application,Dawson Hancock,https://pages.charlotte.edu/connections/people/dhancock/,,,,
Student Motivation,Dawson Hancock,https://pages.charlotte.edu/connections/people/dhancock/,Fumie Kato,https://pages.charlotte.edu/connections/people/fumie-kato/,,
leadership theory,Dawson Hancock,https://pages.charlotte.edu/connections/people/dhancock/,,,,
college student-athletes,Henry Harris,https://pages.charlotte.edu/connections/people/hharris2/,,,,
career development,Henry Harris,https://pages.charlotte.edu/connections/people/hharris2/,,,,
multicultural supervision,Pamela Lassiter,https://pages.charlotte.edu/connections/people/plassite/,,,,
historical narratives in counseling,Pamela Lassiter,https://pages.charlotte.edu/connections/people/plassite/,,,,
social justice in counselor education,Clare Merlin,https://pages.charlotte.edu/connections/people/cmerlin1/,,,,
sexual minority parenting,Pamela Lassiter,https://pages.charlotte.edu/connections/people/plassite/,,,,
substance abuse counselor training,Pamela Lassiter,https://pages.charlotte.edu/connections/people/plassite/,,,,
autism,Henry Harris,https://pages.charlotte.edu/connections/people/hharris2/,,,,
women\u2019s issues,Pamela Lassiter,https://pages.charlotte.edu/connections/people/plassite/,,,,
grief and loss,,,,,,
gender,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Jennifer Langhinrichsen-Rohling,https://pages.charlotte.edu/connections/people/jlanghin/
teaching English as a second language,Chuang Wang,https://pages.charlotte.edu/connections/people/cwang15/,,,,
student self-regulated learning behaviors,Chuang Wang,https://pages.charlotte.edu/connections/people/cwang15/,,,,
experiential instructional techniques,Hilary Dack,https://pages.charlotte.edu/connections/people/hdack/,,,,
racial identities,Lyndon Abrams,https://pages.charlotte.edu/connections/people/lpabrams/,Erika Edwards,https://pages.charlotte.edu/connections/people/erika-edwards/,,
social desirability,Lyndon Abrams,https://pages.charlotte.edu/connections/people/lpabrams/,,,,
community-based programming,,,,,,
community partnerships,,,,,,
learning English as a second language program evaluation,Chuang Wang,https://pages.charlotte.edu/connections/people/cwang15/,,,,
educational assessments validation,Chuang Wang,https://pages.charlotte.edu/connections/people/cwang15/,,,,
school district leadership,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,,,
instructional supervision,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,,,
childhood obesity,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,,,
school facilities,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,,,
school finance,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,,,
teacher working conditions,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,,,
teacher turnover,Jimmy Watson,https://pages.charlotte.edu/connections/people/jrwatson/,,,,
contemplative practices,Jane Dalton,https://pages.charlotte.edu/connections/people/jdalto19/,,,,
couple counseling,,,,,,
urban school counseling,Sejal Foxx,https://pages.charlotte.edu/connections/people/sbparikh/,,,,
school counselor training and development,Sejal Foxx,https://pages.charlotte.edu/connections/people/sbparikh/,,,,
multicultural counseling,Sejal Foxx,https://pages.charlotte.edu/connections/people/sbparikh/,,,,
international counselor education,John Culbreth,https://pages.charlotte.edu/connections/people/jculbret/,,,,
substance abuse counseling,John Culbreth,https://pages.charlotte.edu/connections/people/jculbret/,,,,
gate keeping,,,,,,
chronic illness,,,,,,
psycho-educational groups,Susan Furr,https://pages.charlotte.edu/connections/people/srfurr/,,,,
counseling student development,Susan Furr,https://pages.charlotte.edu/connections/people/srfurr/,,,,
spirituality,,,,,,
mental health,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,John Nance,https://pages.charlotte.edu/connections/people/jcnance/,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/
health,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Jennifer Langhinrichsen-Rohling,https://pages.charlotte.edu/connections/people/jlanghin/,Jhordin James Montegrico,https://pages.charlotte.edu/connections/people/jmontegr/
stress,,,,,,
stress and health,Sara Levens,https://pages.charlotte.edu/connections/people/sara-levens/,,,,
college student development,Susan Furr,https://pages.charlotte.edu/connections/people/srfurr/,,,,
vulnerable populations,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,John Nance,https://pages.charlotte.edu/connections/people/jcnance/
project-based learning,,,,,,
social studies education,Tracy Rock,https://pages.charlotte.edu/connections/people/tcrock/,,,,
assessment and identification,Michael Matthews,https://pages.charlotte.edu/connections/people/mmatth36/,,,,
students with high-incidence disabilities,Christopher O'Brien,https://pages.charlotte.edu/connections/people/cpobrie/,,,,
struggling learners in urban schools,Christopher O'Brien,https://pages.charlotte.edu/connections/people/cpobrie/,,,,
math curriculum,Michael Matthews,https://pages.charlotte.edu/connections/people/mmatth36/,,,,
science curriculum,Michael Matthews,https://pages.charlotte.edu/connections/people/mmatth36/,,,,
effective academic instruction,Ya-yu Lo,https://pages.charlotte.edu/connections/people/ylo1/,,,,
underachievement,Michael Matthews,https://pages.charlotte.edu/connections/people/mmatth36/,,,,
innovation in research-to-practice,Christopher O'Brien,https://pages.charlotte.edu/connections/people/cpobrie/,,,,
persons with disabilities,,,,,,
latino families,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,,,,
hispanic families,,,,,,
diversity issues,Allison Amidei,https://pages.charlotte.edu/connections/people/aamidei/,Fred Spano,https://pages.charlotte.edu/connections/people/fspano/,,
distance education delivery,,,,,,
faith communities,,,,,,
personnel preparation,,,,,,
instructional procedures,,,,,,
functional behavioral assessments,Ya-yu Lo,https://pages.charlotte.edu/connections/people/ylo1/,,,,
positive behavior interventions,Ya-yu Lo,https://pages.charlotte.edu/connections/people/ylo1/,,,,
access to the general curriculum,Fred Spooner,https://pages.charlotte.edu/connections/people/fhspoone/,,,,
self-determination,,,,,,
secondary transition,,,,,,
communication development in young children with disabilities,Jane Smith,https://pages.charlotte.edu/connections/people/jdianesm/,,,,
high-risk infants,Jane Smith,https://pages.charlotte.edu/connections/people/jdianesm/,,,,
medically fragile infants,Jane Smith,https://pages.charlotte.edu/connections/people/jdianesm/,,,,
interdisciplinary personnel preparation,Jane Smith,https://pages.charlotte.edu/connections/people/jdianesm/,,,,
college readiness,,,,,,
career readiness,,,,,,
instructional design,Susan Oyarzun,https://pages.charlotte.edu/connections/people/seallred/,Charles Wood,https://pages.charlotte.edu/connections/people/clwood/,,
social skill instruction,Ya-yu Lo,https://pages.charlotte.edu/connections/people/ylo1/,,,,
single case research,Ya-yu Lo,https://pages.charlotte.edu/connections/people/ylo1/,,,,
single-subject research,Charles Wood,https://pages.charlotte.edu/connections/people/clwood/,,,,
content progressions within alternate assessments,Shawnee Wakeman,https://pages.charlotte.edu/connections/people/slwakema/,,,,
special education teachers,Shawnee Wakeman,https://pages.charlotte.edu/connections/people/slwakema/,,,,
educational system,Shawnee Wakeman,https://pages.charlotte.edu/connections/people/slwakema/,,,,
collaboration and teaming,,,,,,
teacher questioning strategies,Cindy Gilson,https://pages.charlotte.edu/connections/people/cgilson/,,,,
special education administration,Gloria Campbell-Whatley,https://pages.charlotte.edu/connections/people/gcampbe1/,,,,
multicultural education administration,Gloria Campbell-Whatley,https://pages.charlotte.edu/connections/people/gcampbe1/,,,,
education administration,Gloria Campbell-Whatley,https://pages.charlotte.edu/connections/people/gcampbe1/,,,,
urban education administration,Gloria Campbell-Whatley,https://pages.charlotte.edu/connections/people/gcampbe1/,,,,
child advocacy,Jamie Brown,https://pages.charlotte.edu/connections/people/jbrow346/,,,,
early childhood curriculum,Jamie Brown,https://pages.charlotte.edu/connections/people/jbrow346/,,,,
